cod_ibge;uf_resd;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
12;Acre;134;138;115;122;115;94;112;109;92;101;95
27;Alagoas;775;832;732;730;626;593;611;674;627;579;634
16;Amapß;117;128;91;97;94;64;84;72;98;103;87
13;Amazonas;453;469;440;428;399;424;400;399;411;442;440
29;Bahia;2666;2737;2265;2389;2330;2112;2314;2311;2345;2441;2747
23;Cearß;2362;2634;2305;1962;1612;1602;1385;1327;1314;1424;1394
53;Distrito Federal;525;520;463;435;339;350;334;321;323;336;314
32;Espÿrito Santo;1067;991;846;834;922;778;774;757;795;825;810
52;Goißs;2011;2148;1866;1774;1644;1527;1470;1589;1670;1706;1657
21;MaranhÒo;1626;1808;1633;1692;1448;1374;1301;1426;1455;1394;1537
51;Mato Grosso;1154;1125;1041;1013;999;1039;961;1095;1197;1160;1207
50;Mato Grosso do Sul;798;826;657;630;587;565;617;619;638;646;683
31;Minas Gerais;4140;4212;3816;3539;3628;3186;3095;2888;3155;3080;3249
15;Parß;1564;1579;1556;1559;1447;1386;1354;1545;1454;1588;1587
25;Paraÿba;1008;958;1020;1015;912;865;772;788;838;854;837
41;Paranß;3148;3047;2720;2726;2550;2445;2421;2505;2642;2715;2668
26;Pernambuco;1867;1912;1886;1869;1686;1560;1474;1509;1496;1461;1632
22;Piauÿ;1091;1204;1123;1047;986;946;876;898;891;870;1001
33;Rio de Janeiro;2691;2902;2193;2256;2140;2064;1545;1818;1912;1963;2004
24;Rio Grande do Norte;611;585;584;555;538;518;452;447;437;396;412
43;Rio Grande do Sul;2100;2078;1821;1810;1881;1757;1664;1566;1700;1783;1753
11;Rond¶nia;546;540;506;483;491;401;397;419;460;496;479
14;Roraima;151;141;159;106;135;92;122;127;130;155;153
42;Santa Catarina;1712;1871;1587;1510;1511;1386;1441;1358;1435;1434;1465
35;SÒo Paulo;6809;7303;6134;5740;5372;4665;5112;5275;5363;4975;5022
28;Sergipe;659;526;565;475;412;396;400;417;421;422;462
17;Tocantins;481;566;527;549;571;466;457;457;514;545;552
;;;;;;;;;;;;
